collision_id,a,out_strength_vector,frob2,field,frequency,DeltaW,DeltaW_next
38,1 1 -1 1 -1,-2 -4 -4 -4 -4,20,local,2,0 1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 0 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;0 0 0 0 0
38,1 1 -1 1 -1,-2 -4 -4 -4 -4,18,hub_local,34,0 -1 0 -1 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;0 0 0 0 0
39,1 1 -1 1 -1,0 -4 0 -4 0,8,baseline,2,0 0 0 0 0;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;0 0 0 0 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;-1 -1 -1 0 -1;1 1 1 1 0
39,1 1 -1 1 -1,0 -4 0 -4 0,8,hub,4,0 0 0 0 0;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;0 0 0 0 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;-1 -1 -1 0 -1;1 1 1 1 0
39,1 1 -1 1 -1,0 -4 0 -4 0,12,hub_local,18,0 -1 1 -1 1;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;0 0 0 0 0,0 -1 0 -1 0;-1 0 -1 -1 -1;1 1 0 1 1;-1 -1 -1 0 -1;1 1 1 1 0
39,1 1 -1 1 -1,0 -4 0 -4 0,8,hub_local,2,0 0 0 0 0;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;0 0 0 0 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;-1 -1 -1 0 -1;1 1 1 1 0
40,1 1 1 -1 1,0 -2 0 3 -4,17,hub_local,1,0 0 0 0 0;-1 0 1 -1 -1;0 0 0 0 0;0 0 0 0 3;-1 -1 -1 -1 0,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 -1 -1;1 1 1 0 4;-1 -1 -1 -1 0
40,1 1 1 -1 1,0 -2 0 3 -4,21,hub_local,1,0 -1 1 -1 1;-1 0 1 -1 -1;0 0 0 0 0;0 0 0 0 3;-1 -1 -1 -1 0,0 -1 0 -1 0;-1 0 0 -1 -1;-1 -1 0 -1 -1;1 1 1 0 4;-1 -1 -1 -1 0
41,1 1 1 1 1,-2 -4 -4 -4 -4,20,local,19,0 1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 0 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
41,1 1 1 1 1,-2 -4 -4 -4 -4,18,hub_local,21,0 -1 0 -1 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
