collision_id,a,out_strength_vector,frob2,field,frequency,DeltaW,DeltaW_next
4,-1 -1 -1 -1 -1,0 -4 0 -4 -4,12,local,7,0 0 0 0 0;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
4,-1 -1 -1 -1 -1,0 -4 0 -4 -4,16,hub_local,10,0 -1 1 -1 1;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 0 -1 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
5,-1 -1 -1 -1 -1,0 -2 -4 -2 -4,16,hub_local,4,0 0 0 0 0;-1 0 1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 1;-1 -1 -1 -1 0,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 0;-1 -1 -1 -1 0
5,-1 -1 -1 -1 -1,0 -2 -4 -2 -4,20,hub_local,1,0 -1 1 -1 1;-1 0 1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 1;-1 -1 -1 -1 0,0 -1 0 -1 0;-1 0 0 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 0;-1 -1 -1 -1 0
6,-1 -1 -1 -1 -1,0 3 -4 -4 -4,21,local,2,0 0 0 0 0;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 -1 -1 -1;-1 0 2 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
6,-1 -1 -1 -1 -1,0 3 -4 -4 -4,25,hub_local,4,0 -1 1 -1 1;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 0 -1 0;-1 0 2 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
7,-1 -1 -1 -1 -1,0 3 -4 -4 0,17,local,2,0 0 0 0 0;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0,0 -1 -1 -1 -1;-1 0 2 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
7,-1 -1 -1 -1 -1,0 3 -4 -4 0,21,hub_local,2,0 -1 1 -1 1;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0,0 -1 0 -1 0;-1 0 2 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
8,-1 -1 -1 -1 -1,2 -4 -4 -4 -4,20,local,1,0 2 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
8,-1 -1 -1 -1 -1,2 -4 -4 -4 -4,26,hub_local,32,0 -1 2 -1 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 1 -1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
9,-1 -1 -1 -1 -1,2 -4 -4 -4 4,20,local,3,0 2 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;1 1 1 1 0,0 1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0
9,-1 -1 -1 -1 -1,2 -4 -4 -4 4,26,hub_local,10,0 -1 2 -1 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;1 1 1 1 0,0 -1 1 -1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0
10,-1 -1 -1 -1 -1,2 -4 -4 7 -4,35,local,1,0 2 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 4;-1 -1 -1 -1 0,0 1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 3;-1 -1 -1 -1 0
10,-1 -1 -1 -1 -1,2 -4 -4 7 -4,41,hub_local,5,0 -1 2 -1 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 4;-1 -1 -1 -1 0,0 -1 1 -1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 3;-1 -1 -1 -1 0
11,-1 -1 -1 -1 -1,2 7 -4 -4 -4,35,local,1,0 2 0 0 0;1 0 4 1 1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 1 -1 -1 -1;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
11,-1 -1 -1 -1 -1,2 7 -4 -4 -4,41,hub_local,5,0 -1 2 -1 2;1 0 4 1 1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 1 -1 1;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
12,-1 -1 -1 -1 -1,4 -4 -4 -4 -4,20,baseline,52,0 1 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 0 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
12,-1 -1 -1 -1 -1,4 -4 -4 -4 -4,20,hub,174,0 1 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 0 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
12,-1 -1 -1 -1 -1,4 -4 -4 -4 -4,20,local,2,0 1 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 0 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
12,-1 -1 -1 -1 -1,4 -4 -4 -4 -4,24,hub_local,2,0 0 2 0 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 1 -1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
13,-1 -1 -1 -1 -1,6 -4 -4 -4 -4,28,local,1,0 3 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 2 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
13,-1 -1 -1 -1 -1,6 -4 -4 -4 -4,34,hub_local,18,0 0 3 0 3;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 2 -1 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
13,-1 -1 -1 -1 -1,6 -4 -4 -4 -4,26,hub_local,2,0 1 2 1 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 0 1 0 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
14,-1 -1 -1 -1 -1,6 -4 -4 -4 8,40,local,3,0 3 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;2 2 2 2 0,0 2 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;1 1 1 1 0
14,-1 -1 -1 -1 -1,6 -4 -4 -4 8,46,hub_local,10,0 0 3 0 3;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;2 2 2 2 0,0 -1 2 -1 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;1 1 1 1 0
15,-1 -1 -1 -1 -1,6 -4 -4 11 -4,61,local,1,0 3 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 5;-1 -1 -1 -1 0,0 2 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 4;-1 -1 -1 -1 0
15,-1 -1 -1 -1 -1,6 -4 -4 11 -4,67,hub_local,5,0 0 3 0 3;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 5;-1 -1 -1 -1 0,0 -1 2 -1 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 4;-1 -1 -1 -1 0
16,-1 -1 -1 -1 -1,10 -4 -4 -4 -4,44,local,16,0 4 2 2 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 3 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
16,-1 -1 -1 -1 -1,10 -4 -4 -4 -4,50,hub_local,16,0 1 4 1 4;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 0 3 0 3;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
17,-1 -1 -1 -1 -1,10 -4 -4 -4 12,76,local,3,0 4 2 2 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;3 3 3 3 0,0 3 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;2 2 2 2 0
17,-1 -1 -1 -1 -1,10 -4 -4 -4 12,82,hub_local,10,0 1 4 1 4;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;3 3 3 3 0,0 0 3 0 3;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;2 2 2 2 0
18,-1 -1 -1 -1 -1,10 -4 -4 15 -4,103,local,2,0 4 2 2 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;3 3 3 0 6;-1 -1 -1 -1 0,0 3 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 5;-1 -1 -1 -1 0
18,-1 -1 -1 -1 -1,10 -4 -4 15 -4,109,hub_local,5,0 1 4 1 4;-1 0 -1 -1 -1;-1 -1 0 -1 -1;3 3 3 0 6;-1 -1 -1 -1 0,0 0 3 0 3;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 5;-1 -1 -1 -1 0
19,-1 -1 -1 1 -1,0 -2 0 3 -4,17,hub_local,1,0 0 0 0 0;-1 0 1 -1 -1;0 0 0 0 0;0 0 0 0 3;-1 -1 -1 -1 0,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 -1 -1;1 1 1 0 4;-1 -1 -1 -1 0
19,-1 -1 -1 1 -1,0 -2 0 3 -4,21,hub_local,1,0 -1 1 -1 1;-1 0 1 -1 -1;0 0 0 0 0;0 0 0 0 3;-1 -1 -1 -1 0,0 -1 0 -1 0;-1 0 0 -1 -1;-1 -1 0 -1 -1;1 1 1 0 4;-1 -1 -1 -1 0
20,-1 -1 1 -1 1,-2 -4 -4 -4 -4,20,local,2,0 1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 0 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;0 0 0 0 0
20,-1 -1 1 -1 1,-2 -4 -4 -4 -4,18,hub_local,34,0 -1 0 -1 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;0 0 0 0 0
21,-1 -1 1 -1 1,0 -4 0 -4 0,8,baseline,2,0 0 0 0 0;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;0 0 0 0 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;-1 -1 -1 0 -1;1 1 1 1 0
21,-1 -1 1 -1 1,0 -4 0 -4 0,8,hub,4,0 0 0 0 0;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;0 0 0 0 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;-1 -1 -1 0 -1;1 1 1 1 0
21,-1 -1 1 -1 1,0 -4 0 -4 0,12,hub_local,18,0 -1 1 -1 1;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;0 0 0 0 0,0 -1 0 -1 0;-1 0 -1 -1 -1;1 1 0 1 1;-1 -1 -1 0 -1;1 1 1 1 0
21,-1 -1 1 -1 1,0 -4 0 -4 0,8,hub_local,2,0 0 0 0 0;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;0 0 0 0 0,0 -1 -1 -1 -1;-1 0 -1 -1 -1;1 1 0 1 1;-1 -1 -1 0 -1;1 1 1 1 0
22,-1 1 -1 -1 -1,0 3 -4 -2 0,17,hub_local,1,0 0 0 0 0;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 1;0 0 0 0 0,0 -1 -1 -1 -1;1 0 4 1 1;-1 -1 0 -1 -1;-1 -1 -1 0 0;-1 -1 -1 -1 0
22,-1 1 -1 -1 -1,0 3 -4 -2 0,21,hub_local,1,0 -1 1 -1 1;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 1;0 0 0 0 0,0 -1 0 -1 0;1 0 4 1 1;-1 -1 0 -1 -1;-1 -1 -1 0 0;-1 -1 -1 -1 0
23,-1 1 -1 1 -1,4 -4 -4 -4 -4,20,baseline,2,0 1 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 0 0 0 0;0 0 0 0 0;-1 -1 0 -1 -1;0 0 0 0 0;-1 -1 -1 -1 0
23,-1 1 -1 1 -1,4 -4 -4 -4 -4,24,hub_local,2,0 0 2 0 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 -1 1 -1 1;0 0 0 0 0;-1 -1 0 -1 -1;0 0 0 0 0;-1 -1 -1 -1 0
24,-1 1 1 -1 1,6 -4 -4 11 -4,61,local,1,0 3 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 5;-1 -1 -1 -1 0,0 4 2 2 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;3 3 3 0 6;-1 -1 -1 -1 0
24,-1 1 1 -1 1,6 -4 -4 11 -4,67,hub_local,3,0 0 3 0 3;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 5;-1 -1 -1 -1 0,0 1 4 1 4;-1 0 -1 -1 -1;-1 -1 0 -1 -1;3 3 3 0 6;-1 -1 -1 -1 0
25,-1 1 1 1 -1,6 -4 -4 -4 8,40,local,3,0 3 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;2 2 2 2 0,0 4 2 2 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;3 3 3 3 0
25,-1 1 1 1 -1,6 -4 -4 -4 8,46,hub_local,4,0 0 3 0 3;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;2 2 2 2 0,0 1 4 1 4;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;3 3 3 3 0
26,-1 1 1 1 -1,6 -4 -4 -2 8,40,local,2,0 3 1 1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 1;2 2 2 2 0,0 4 2 2 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 0;3 3 3 3 0
26,-1 1 1 1 -1,6 -4 -4 -2 8,46,hub_local,2,0 0 3 0 3;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 1;2 2 2 2 0,0 1 4 1 4;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 0;3 3 3 3 0
27,-1 1 1 1 1,-2 -4 -4 -4 -4,20,local,1,0 1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 2 0 0 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
27,-1 1 1 1 1,-2 -4 -4 -4 -4,18,hub_local,1,0 -1 0 -1 0;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 0 1 0 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
28,-1 1 1 1 1,2 -4 -4 -4 -4,26,hub_local,2,0 -1 2 -1 2;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0,0 0 3 0 3;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
