mask,features,n_features,unique_groups,deterministic_groups,D_state,A_freq
69,frob2+stable_rank+in_out_strength_distribution,3,7916,6628,0.8372915613946438,0.7783359275505872
70,rank+stable_rank+in_out_strength_distribution,3,7916,6628,0.8372915613946438,0.7783359275505872
71,frob2+rank+stable_rank+in_out_strength_distribution,4,7916,6628,0.8372915613946438,0.7783359275505872
72,singular_values+in_out_strength_distribution,2,7916,6628,0.8372915613946438,0.7783359275505872
73,frob2+singular_values+in_out_strength_distribution,3,7916,6628,0.8372915613946438,0.7783359275505872
74,rank+singular_values+in_out_strength_distribution,3,7916,6628,0.8372915613946438,0.7783359275505872
75,frob2+rank+singular_values+in_out_strength_distribution,4,7916,6628,0.8372915613946438,0.7783359275505872
76,stable_rank+singular_values+in_out_strength_distribution,3,7916,6628,0.8372915613946438,0.7783359275505872
77,frob2+stable_rank+singular_values+in_out_strength_distribution,4,7916,6628,0.8372915613946438,0.7783359275505872
78,rank+stable_rank+singular_values+in_out_strength_distribution,4,7916,6628,0.8372915613946438,0.7783359275505872
79,frob2+rank+stable_rank+singular_values+in_out_strength_distribution,5,7916,6628,0.8372915613946438,0.7783359275505872
80,out_strength_distribution+in_out_strength_distribution,2,7776,6396,0.8225308641975309,0.7716499221734824
81,frob2+out_strength_distribution+in_out_strength_distribution,3,7776,6396,0.8225308641975309,0.7716499221734824
82,rank+out_strength_distribution+in_out_strength_distribution,3,7776,6396,0.8225308641975309,0.7716499221734824
83,frob2+rank+out_strength_distribution+in_out_strength_distribution,4,7776,6396,0.8225308641975309,0.7716499221734824
84,stable_rank+out_strength_distribution+in_out_strength_distribution,3,7916,6628,0.8372915613946438,0.7783359275505872
85,frob2+stable_rank+out_strength_distribution+in_out_strength_distribution,4,7916,6628,0.8372915613946438,0.7783359275505872
86,rank+stable_rank+out_strength_distribution+in_out_strength_distribution,4,7916,6628,0.8372915613946438,0.7783359275505872
87,frob2+rank+stable_rank+out_strength_distribution+in_out_strength_distribution,5,7916,6628,0.8372915613946438,0.7783359275505872
88,singular_values+out_strength_distribution+in_out_strength_distribution,3,7916,6628,0.8372915613946438,0.7783359275505872
89,frob2+singular_values+out_strength_distribution+in_out_strength_distribution,4,7916,6628,0.8372915613946438,0.7783359275505872
90,rank+singular_values+out_strength_distribution+in_out_strength_distribution,4,7916,6628,0.8372915613946438,0.7783359275505872
91,frob2+rank+singular_values+out_strength_distribution+in_out_strength_distribution,5,7916,6628,0.8372915613946438,0.7783359275505872
92,stable_rank+singular_values+out_strength_distribution+in_out_strength_distribution,4,7916,6628,0.8372915613946438,0.7783359275505872
93,frob2+stable_rank+singular_values+out_strength_distribution+in_out_strength_distribution,5,7916,6628,0.8372915613946438,0.7783359275505872
94,rank+stable_rank+singular_values+out_strength_distribution+in_out_strength_distribution,5,7916,6628,0.8372915613946438,0.7783359275505872
95,frob2+rank+stable_rank+singular_values+out_strength_distribution+in_out_strength_distribution,6,7916,6628,0.8372915613946438,0.7783359275505872
96,in_strength_distribution+in_out_strength_distribution,2,7776,6396,0.8225308641975309,0.7716499221734824
97,frob2+in_strength_distribution+in_out_strength_distribution,3,7776,6396,0.8225308641975309,0.7716499221734824
98,rank+in_strength_distribution+in_out_strength_distribution,3,7776,6396,0.8225308641975309,0.7716499221734824
