mask,features,n_features,unique_groups,deterministic_groups,D_state,A_freq,B_unique_DeltaW,DeltaW_compression_rate
35,frob2+rank+in_strength_distribution,3,7310,5646,0.7723666210670315,0.7582425357294468,1089,0.5749414519906324
36,stable_rank+in_strength_distribution,2,7814,6442,0.8244177117993345,0.7754704966746852,1342,0.47619047619047616
37,frob2+stable_rank+in_strength_distribution,3,7814,6442,0.8244177117993345,0.7754704966746852,1342,0.47619047619047616
38,rank+stable_rank+in_strength_distribution,3,7814,6442,0.8244177117993345,0.7754704966746852,1342,0.47619047619047616
39,frob2+rank+stable_rank+in_strength_distribution,4,7814,6442,0.8244177117993345,0.7754704966746852,1342,0.47619047619047616
40,singular_values+in_strength_distribution,2,7816,6444,0.8244626407369499,0.7755058723645111,1344,0.47540983606557374
41,frob2+singular_values+in_strength_distribution,3,7816,6444,0.8244626407369499,0.7755058723645111,1344,0.47540983606557374
42,rank+singular_values+in_strength_distribution,3,7816,6444,0.8244626407369499,0.7755058723645111,1344,0.47540983606557374
43,frob2+rank+singular_values+in_strength_distribution,4,7816,6444,0.8244626407369499,0.7755058723645111,1344,0.47540983606557374
44,stable_rank+singular_values+in_strength_distribution,3,7816,6444,0.8244626407369499,0.7755058723645111,1344,0.47540983606557374
45,frob2+stable_rank+singular_values+in_strength_distribution,4,7816,6444,0.8244626407369499,0.7755058723645111,1344,0.47540983606557374
46,rank+stable_rank+singular_values+in_strength_distribution,4,7816,6444,0.8244626407369499,0.7755058723645111,1344,0.47540983606557374
47,frob2+rank+stable_rank+singular_values+in_strength_distribution,5,7816,6444,0.8244626407369499,0.7755058723645111,1344,0.47540983606557374
48,out_strength_distribution+in_strength_distribution,2,7444,5834,0.7837184309511016,0.7634427621338616,1129,0.559328649492584
49,frob2+out_strength_distribution+in_strength_distribution,3,7448,5842,0.7843716433941997,0.763902646101599,1131,0.5585480093676816
50,rank+out_strength_distribution+in_strength_distribution,3,7488,5896,0.7873931623931624,0.7648931654167256,1164,0.5456674473067915
51,frob2+rank+out_strength_distribution+in_strength_distribution,4,7488,5896,0.7873931623931624,0.7648931654167256,1164,0.5456674473067915
52,stable_rank+out_strength_distribution+in_strength_distribution,3,7814,6442,0.8244177117993345,0.7754704966746852,1343,0.47580015612802495
53,frob2+stable_rank+out_strength_distribution+in_strength_distribution,4,7814,6442,0.8244177117993345,0.7754704966746852,1343,0.47580015612802495
54,rank+stable_rank+out_strength_distribution+in_strength_distribution,4,7814,6442,0.8244177117993345,0.7754704966746852,1343,0.47580015612802495
55,frob2+rank+stable_rank+out_strength_distribution+in_strength_distribution,5,7814,6442,0.8244177117993345,0.7754704966746852,1343,0.47580015612802495
56,singular_values+out_strength_distribution+in_strength_distribution,3,7816,6444,0.8244626407369499,0.7755058723645111,1345,0.47501951600312253
57,frob2+singular_values+out_strength_distribution+in_strength_distribution,4,7816,6444,0.8244626407369499,0.7755058723645111,1345,0.47501951600312253
58,rank+singular_values+out_strength_distribution+in_strength_distribution,4,7816,6444,0.8244626407369499,0.7755058723645111,1345,0.47501951600312253
59,frob2+rank+singular_values+out_strength_distribution+in_strength_distribution,5,7816,6444,0.8244626407369499,0.7755058723645111,1345,0.47501951600312253
60,stable_rank+singular_values+out_strength_distribution+in_strength_distribution,4,7816,6444,0.8244626407369499,0.7755058723645111,1345,0.47501951600312253
61,frob2+stable_rank+singular_values+out_strength_distribution+in_strength_distribution,5,7816,6444,0.8244626407369499,0.7755058723645111,1345,0.47501951600312253
62,rank+stable_rank+singular_values+out_strength_distribution+in_strength_distribution,5,7816,6444,0.8244626407369499,0.7755058723645111,1345,0.47501951600312253
63,frob2+rank+stable_rank+singular_values+out_strength_distribution+in_strength_distribution,6,7816,6444,0.8244626407369499,0.7755058723645111,1345,0.47501951600312253
64,in_out_strength_distribution,1,7776,6396,0.8225308641975309,0.7716499221734824,1358,0.4699453551912568
65,frob2+in_out_strength_distribution,2,7776,6396,0.8225308641975309,0.7716499221734824,1358,0.4699453551912568
66,rank+in_out_strength_distribution,2,7776,6396,0.8225308641975309,0.7716499221734824,1358,0.4699453551912568
67,frob2+rank+in_out_strength_distribution,3,7776,6396,0.8225308641975309,0.7716499221734824,1358,0.4699453551912568
68,stable_rank+in_out_strength_distribution,2,7916,6628,0.8372915613946438,0.7783359275505872,1401,0.45316159250585475
69,frob2+stable_rank+in_out_strength_distribution,3,7916,6628,0.8372915613946438,0.7783359275505872,1401,0.45316159250585475
70,rank+stable_rank+in_out_strength_distribution,3,7916,6628,0.8372915613946438,0.7783359275505872,1401,0.45316159250585475
