future_id,chi,difficult,n,anchor_neg,variable_coords,variable_rows,max_row_patterns,excess_row_patterns,observed_actions,revealing_actions,conflict_actions,pairs,revealable_pairs,coobs_pair_actions,reveal_pair_actions,row_patterns
807,2,1,5,19,11,3,2,3,10,6,6,10,3,28,6,2 1 1 2 2
810,2,1,4,18,14,4,2,4,6,4,4,6,3,20,6,2 1 2 2 2
813,1,0,3,18,7,2,2,2,6,0,0,3,0,10,0,2 1 1 1 2
819,3,1,4,18,10,3,2,3,16,8,8,6,5,40,16,2 1 2 1 2
824,1,0,2,17,7,2,2,2,2,0,0,1,0,2,0,1 2 2 1 1
830,2,1,2,18,7,2,2,2,8,2,2,1,1,8,2,2 1 1 1 2
831,1,0,1,17,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
833,1,0,1,17,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
850,1,0,2,18,14,4,2,4,2,0,0,1,0,2,0,2 2 2 1 2
860,1,0,2,16,4,1,2,1,4,0,0,1,0,4,0,1 1 1 1 2
863,1,0,3,16,9,3,2,3,2,0,0,3,0,6,0,2 2 2 1 1
876,1,0,5,17,10,3,2,3,4,0,0,10,0,22,0,2 2 1 1 2
878,1,0,2,16,3,1,2,1,2,0,0,1,0,2,0,2 1 1 1 1
907,2,1,3,17,7,2,2,2,8,4,4,3,1,12,4,2 1 1 1 2
909,1,0,2,17,3,1,2,1,2,0,0,1,0,2,0,2 1 1 1 1
918,1,0,2,17,7,2,2,2,2,0,0,1,0,2,0,2 1 1 1 2
927,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1054,3,1,12,16,16,4,3,5,32,28,28,66,13,438,88,1 3 2 2 2
1205,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1272,1,0,5,16,8,2,3,4,4,0,0,10,0,32,0,1 3 1 3 1
1318,2,1,14,19,19,5,3,8,6,4,4,91,4,194,8,2 3 3 3 2
1320,2,1,6,18,15,5,3,6,4,2,2,15,1,32,2,2 2 3 2 2
1329,3,1,12,18,15,5,3,6,14,8,8,66,14,190,28,2 3 2 2 2
1332,1,0,4,17,13,4,3,5,4,0,0,6,0,14,0,2 3 2 2 1
1372,1,0,5,18,18,5,3,7,2,0,0,10,0,20,0,2 2 3 3 2
1374,3,1,5,17,14,4,3,5,8,4,4,10,4,40,12,2 1 3 2 2
1384,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1541,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1632,2,1,6,16,16,4,3,5,30,16,16,15,4,82,16,1 2 2 3 2
1725,1,0,5,16,16,4,2,4,4,0,0,10,0,22,0,1 2 2 2 2
1798,1,0,2,19,4,1,2,1,2,0,0,1,0,2,0,1 1 2 1 1
1799,1,0,2,18,7,2,2,2,2,0,0,1,0,2,0,1 1 1 2 2
1801,1,0,2,18,4,1,2,1,2,0,0,1,0,2,0,1 1 1 1 2
1802,1,0,3,18,7,2,2,2,2,0,0,3,0,6,0,1 1 2 1 2
1804,2,1,3,17,6,2,2,2,4,2,2,3,1,8,2,1 1 2 2 1
1806,1,0,3,17,7,2,2,2,6,0,0,3,0,10,0,1 1 2 1 2
1810,2,1,2,18,4,1,2,1,4,2,2,1,1,4,2,1 1 1 1 2
1813,1,0,2,17,7,2,2,2,2,0,0,1,0,2,0,1 1 1 2 2
1816,1,0,1,17,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1834,1,0,1,18,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1835,1,0,2,17,4,1,2,1,2,0,0,1,0,2,0,1 1 1 1 2
1836,1,0,2,17,7,2,2,2,2,0,0,1,0,2,0,1 2 1 1 2
1838,1,0,1,17,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1839,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1841,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1851,1,0,2,17,4,1,2,1,4,0,0,1,0,4,0,1 1 1 1 2
1853,1,0,2,16,10,3,2,3,2,0,0,1,0,2,0,1 2 1 2 2
1856,1,0,2,16,4,1,2,1,14,0,0,1,0,14,0,1 1 1 1 2
1886,1,0,1,18,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1887,2,1,2,17,4,1,2,1,4,2,2,1,1,4,2,1 1 1 1 2
1888,1,0,1,17,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1892,1,0,1,17,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1893,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1895,1,0,2,16,4,1,2,1,14,0,0,1,0,14,0,1 1 1 1 2
1904,1,0,1,17,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1906,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
1909,1,0,2,16,4,1,2,1,22,0,0,1,0,22,0,1 1 1 1 2
1964,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
2111,1,0,2,16,4,1,2,1,2,0,0,1,0,2,0,1 1 1 1 2
2140,1,0,16,16,16,4,2,4,32,0,0,120,0,1000,0,1 2 2 2 2
2172,1,0,4,16,10,4,2,4,2,0,0,6,0,12,0,1 2 2 2 2
2208,3,1,6,16,16,4,3,6,6,2,2,15,3,38,6,1 3 3 2 2
2316,1,0,2,16,4,1,2,1,2,0,0,1,0,2,0,1 2 1 1 1
2359,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
2420,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
2502,1,0,5,16,16,4,2,4,2,0,0,10,0,20,0,1 2 2 2 2
2515,1,0,2,16,1,1,2,1,2,0,0,1,0,2,0,1 2 1 1 1
