future_id,chi,difficult,n,anchor_neg,variable_coords,variable_rows,max_row_patterns,excess_row_patterns,observed_actions,revealing_actions,conflict_actions,pairs,revealable_pairs,coobs_pair_actions,reveal_pair_actions,row_patterns
428,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
429,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
430,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
431,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
432,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
437,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
438,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
440,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
443,1,0,2,12,1,1,2,1,2,0,0,1,0,2,0,2 1 1 1 1
447,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
448,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
450,2,1,4,16,16,4,2,4,10,4,4,6,2,24,6,2 1 2 2 2
452,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
453,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
454,1,0,2,15,4,1,2,1,2,0,0,1,0,2,0,1 1 1 1 2
456,1,0,1,11,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
458,1,0,2,15,8,2,2,2,2,0,0,1,0,2,0,2 1 1 1 2
462,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
464,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
466,1,0,1,15,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
467,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
469,1,0,1,16,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
470,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
471,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
473,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
475,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
477,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
480,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
482,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
483,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
484,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
487,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
491,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
494,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
500,1,0,5,16,11,4,3,5,2,0,0,10,0,20,0,2 1 3 2 2
501,1,0,2,12,3,2,2,2,2,0,0,1,0,2,0,2 1 1 2 1
502,1,0,2,12,3,2,2,2,2,0,0,1,0,2,0,2 1 1 2 1
503,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
509,1,0,2,12,2,1,2,1,2,0,0,1,0,2,0,2 1 1 1 1
511,1,0,2,12,2,1,2,1,2,0,0,1,0,2,0,2 1 1 1 1
513,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
516,1,0,2,12,1,1,2,1,2,0,0,1,0,2,0,2 1 1 1 1
517,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
521,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
524,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
527,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
542,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
546,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
547,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
548,1,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
553,2,1,5,18,10,3,2,3,4,2,2,10,2,26,4,2 1 2 1 2
555,2,1,4,17,17,5,2,5,4,2,2,6,1,14,2,2 2 2 2 2
557,1,0,2,17,4,1,2,1,2,0,0,1,0,2,0,1 1 2 1 1
558,1,0,1,14,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
564,1,0,1,10,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
566,1,0,1,9,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
568,1,0,1,10,0,0,1,0,0,0,0,0,0,0,0,1 1 1 1 1
576,2,1,4,17,17,5,2,5,4,2,2,6,1,14,2,2 2 2 2 2
578,4,1,6,16,16,5,2,5,8,2,2,15,6,54,12,2 2 2 2 2
581,2,1,4,16,13,4,2,4,4,2,2,6,2,18,4,2 2 2 1 2
