future_id,chi,clique_rank,vertex_id,field_deltaW
253,2,0,909,0 0 -1 -1 -1;-1 0 2 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 2;-1 -1 -1 -1 0
253,2,1,913,0 0 -1 -1 -1;-1 0 2 -1 -1;-1 -1 0 -1 -1;0 0 0 0 2;0 0 0 0 0
295,2,0,374,0 -1 -1 -1 -1;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
295,2,1,375,0 -1 -1 -1 -1;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0
304,2,0,415,0 -1 -1 -1 -1;1 0 1 1 1;0 0 0 0 0;-1 -1 -1 0 -1;-1 -1 -1 -1 0
304,2,1,395,0 -1 -1 -1 -1;1 0 1 1 1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
374,4,0,451,0 -1 -1 -1 -1;1 0 4 1 1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0
374,4,1,450,0 -1 -1 -1 -1;1 0 4 1 1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
374,4,2,466,0 -1 -1 -1 -1;1 0 4 1 1;-1 -1 0 0 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
374,4,3,643,0 -1 0 -1 0;1 0 4 1 1;-1 -1 0 -1 -1;-1 -1 -1 0 0;-1 -1 -1 -1 0
375,2,0,452,0 -1 -1 -1 -1;1 0 4 1 1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;1 1 1 1 0
375,2,1,645,0 -1 0 -1 0;1 0 4 1 1;-1 -1 0 -1 -1;-1 -1 -1 0 0;1 1 1 1 0
384,2,0,464,0 -1 -1 -1 -1;1 0 4 1 1;-1 -1 0 -1 -1;1 1 1 0 4;-1 -1 -1 -1 0
384,2,1,651,0 -1 0 -1 0;1 0 4 1 1;-1 -1 0 -1 -1;1 1 1 0 4;-1 -1 -1 -1 0
450,2,0,501,0 -1 -1 -1 -1;2 0 5 2 2;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0
450,2,1,500,0 -1 -1 -1 -1;2 0 5 2 2;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
553,2,0,667,0 -1 1 -1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
553,2,1,674,0 -1 1 -1 1;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;0 0 0 0 0
555,2,0,670,0 -1 1 -1 1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 1;-1 -1 -1 -1 0
555,2,1,677,0 -1 1 -1 1;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 1;0 0 0 0 0
576,2,0,693,0 -1 1 -1 1;-1 0 1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
576,2,1,708,0 -1 1 -1 1;-1 0 1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;0 0 0 0 0
578,4,0,696,0 -1 1 -1 1;-1 0 1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 1;-1 -1 -1 -1 0
578,4,1,697,0 -1 1 -1 1;-1 0 1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 1;0 0 0 0 0
578,4,2,710,0 -1 1 -1 1;-1 0 1 -1 -1;0 0 0 0 0;-1 -1 -1 0 1;-1 -1 -1 -1 0
578,4,3,732,0 -1 1 -1 1;0 0 1 0 0;0 0 0 0 0;0 0 0 0 1;0 0 0 0 0
581,2,0,1217,0 0 1 0 1;0 0 1 0 0;-1 -1 0 -1 -1;0 0 0 0 3;0 0 0 0 0
581,2,1,714,0 -1 1 -1 1;-1 0 1 -1 -1;0 0 0 0 0;0 0 0 0 3;-1 -1 -1 -1 0
620,2,0,1224,0 0 1 0 1;0 0 3 0 0;0 0 0 0 0;0 0 0 0 1;-1 -1 -1 -1 0
620,2,1,737,0 -1 1 -1 1;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 1;0 0 0 0 0
697,2,0,782,0 -1 2 -1 2;-1 0 2 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 2;1 1 1 1 0
697,2,1,1254,0 0 2 0 2;0 0 2 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 2;1 1 1 1 0
710,2,0,787,0 -1 2 -1 2;-1 0 2 -1 -1;1 1 0 1 1;-1 -1 -1 0 2;-1 -1 -1 -1 0
710,2,1,1246,0 0 2 0 2;-1 0 2 -1 -1;1 1 0 1 1;0 0 0 0 2;-1 -1 -1 -1 0
768,2,0,1291,0 0 3 0 3;-1 0 1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 3;-1 -1 -1 -1 0
768,2,1,1298,0 0 3 0 3;-1 0 1 -1 -1;0 0 0 0 0;0 0 0 0 3;-1 -1 -1 -1 0
778,2,0,1310,0 0 3 0 3;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 1;-1 -1 -1 -1 0
778,2,1,1311,0 0 3 0 3;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 1;0 0 0 0 0
807,2,0,1320,0 1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
807,2,1,1321,0 1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0
810,2,0,1344,0 1 -1 -1 -1;-1 0 -1 -1 -1;0 0 0 0 0;-1 -1 -1 0 1;-1 -1 -1 -1 0
810,2,1,1325,0 1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 1;0 0 0 0 0
819,3,0,1332,0 1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 1 -1;-1 -1 -1 0 -1;0 0 0 0 0
819,3,1,1569,0 1 0 0 0;-1 0 -1 -1 -1;0 0 0 1 0;-1 -1 -1 0 -1;0 0 0 0 0
