future_id,chi,vertex_id,field_neg,field_zero,field_pos,field_sum,field_abs_sum,field_asym_l1,field_distinct,observed_actions,distinct_next_futures
295,2,374,16,3,1,-13,19,7,3,14,7
295,2,375,12,7,1,-9,15,9,3,12,6
295,2,1175,12,7,1,-9,15,9,3,2,1
295,2,1176,8,11,1,-5,11,9,3,2,1
295,2,1178,8,11,1,-5,11,9,3,4,2
295,2,1179,4,15,1,-1,7,7,3,2,1
304,2,395,16,0,4,-12,20,8,2,32,16
304,2,396,12,4,4,-8,16,10,3,6,3
304,2,401,12,4,4,-8,16,10,3,6,3
304,2,415,12,4,4,-8,16,10,3,4,2
304,2,984,11,5,4,-7,15,9,3,2,1
304,2,988,10,6,4,-6,14,8,3,2,1
304,2,990,11,5,4,-7,15,9,3,2,1
304,2,995,10,6,4,-6,14,8,3,2,1
304,2,1185,12,4,4,-8,16,10,3,4,2
374,4,450,16,0,4,-9,23,11,3,12,6
374,4,451,12,4,4,-5,19,13,4,10,5
374,4,454,15,1,4,-8,22,12,4,8,4
374,4,460,8,8,4,-1,15,13,4,4,2
374,4,466,15,1,4,-8,22,12,4,4,2
374,4,643,13,3,4,-6,20,14,4,10,5
374,4,644,9,7,4,-2,16,12,4,4,2
374,4,1020,11,5,4,-4,18,12,4,2,1
374,4,1024,10,6,4,-3,17,11,4,2,1
374,4,1197,8,8,4,-1,15,13,4,2,1
374,4,1198,11,5,4,-4,18,14,4,2,1
374,4,1200,8,8,4,-1,15,13,4,4,2
375,2,452,12,0,8,-1,23,15,3,10,5
375,2,456,11,1,8,0,22,14,4,4,2
375,2,641,10,2,8,1,21,15,4,4,2
375,2,645,9,3,8,2,20,14,4,10,5
375,2,654,5,7,8,6,16,12,4,8,4
375,2,1021,11,1,8,0,22,14,4,4,2
384,2,464,12,0,8,2,26,18,3,6,3
384,2,651,10,2,8,4,24,20,4,12,6
384,2,652,6,6,8,8,20,18,4,8,4
384,2,656,6,6,8,8,20,18,4,8,4
384,2,657,2,10,8,12,16,14,4,8,4
384,2,1030,11,1,8,3,25,17,4,2,1
