field_id,color_class,deltaW
207,146,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 -1 -1;0 0 0 0 0;0 0 0 0 0
208,148,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 -1 -1;0 0 0 0 2;0 0 0 0 0
209,151,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 -1 -1;1 1 1 0 2;1 1 1 1 0
210,100,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 -1 -1;1 1 1 0 4;-1 -1 -1 -1 0
211,137,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 -1 -1;1 1 1 0 4;0 0 0 0 0
212,152,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 -1 -1;1 1 1 0 4;1 1 1 1 0
213,162,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 -1 -1;3 3 3 0 6;0 0 0 0 0
214,22,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 0 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
215,56,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 0 -1;-1 -1 -1 0 2;-1 -1 -1 -1 0
216,165,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 0 -1;1 1 1 0 2;-1 -1 -1 -1 0
217,243,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 2 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
218,105,0 -1 -1 -1 -1;-1 0 0 -1 -1;-1 -1 0 2 -1;0 0 0 0 0;-1 -1 -1 -1 0
219,24,0 -1 -1 -1 -1;-1 0 0 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;-1 -1 -1 -1 0
220,24,0 -1 -1 -1 -1;-1 0 0 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;0 0 0 0 0
221,189,0 -1 -1 -1 -1;-1 0 0 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;1 1 1 1 0
222,177,0 -1 -1 -1 -1;-1 0 0 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;2 2 2 2 0
223,395,0 -1 -1 -1 -1;-1 0 0 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;3 3 3 3 0
224,24,0 -1 -1 -1 -1;-1 0 0 -1 -1;0 0 0 0 0;-1 -1 -1 0 0;-1 -1 -1 -1 0
225,24,0 -1 -1 -1 -1;-1 0 0 -1 -1;0 0 0 0 0;-1 -1 -1 0 0;0 0 0 0 0
226,177,0 -1 -1 -1 -1;-1 0 0 -1 -1;0 0 0 0 0;-1 -1 -1 0 0;2 2 2 2 0
227,171,0 -1 -1 -1 -1;-1 0 0 -1 -1;0 0 0 0 0;-1 -1 -1 0 2;-1 -1 -1 -1 0
228,43,0 -1 -1 -1 -1;-1 0 0 -1 -1;0 0 0 0 0;1 1 1 0 1;-1 -1 -1 -1 0
229,137,0 -1 -1 -1 -1;-1 0 0 -1 -1;0 0 0 0 0;1 1 1 0 4;-1 -1 -1 -1 0
230,18,0 -1 -1 -1 -1;-1 0 0 -1 -1;1 1 0 1 1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
231,158,0 -1 -1 -1 -1;-1 0 0 -1 -1;1 1 0 1 1;-1 -1 -1 0 -1;0 0 0 0 0
232,45,0 -1 -1 -1 -1;-1 0 0 -1 -1;1 1 0 1 1;-1 -1 -1 0 -1;1 1 1 1 0
233,18,0 -1 -1 -1 -1;-1 0 0 -1 -1;1 1 0 1 1;-1 -1 -1 0 0;-1 -1 -1 -1 0
234,45,0 -1 -1 -1 -1;-1 0 0 -1 -1;1 1 0 1 1;-1 -1 -1 0 0;1 1 1 1 0
235,145,0 -1 -1 -1 -1;-1 0 0 -1 -1;1 1 0 1 1;-1 -1 -1 0 2;-1 -1 -1 -1 0
236,166,0 -1 -1 -1 -1;-1 0 0 -1 -1;1 1 0 1 1;1 1 1 0 2;-1 -1 -1 -1 0
237,128,0 -1 -1 -1 -1;-1 0 0 -1 -1;1 1 0 1 1;1 1 1 0 4;-1 -1 -1 -1 0
238,656,0 -1 -1 -1 -1;-1 0 0 -1 -1;1 1 0 1 1;2 2 2 0 2;-1 -1 -1 -1 0
239,691,0 -1 -1 -1 -1;-1 0 0 -1 -1;1 1 0 2 1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
240,481,0 -1 -1 -1 -1;-1 0 0 -1 -1;1 1 0 2 1;-1 -1 -1 0 -1;2 2 2 2 0
241,482,0 -1 -1 -1 -1;-1 0 0 -1 -1;1 1 0 2 1;2 2 2 0 2;-1 -1 -1 -1 0
242,483,0 -1 -1 -1 -1;-1 0 0 -1 -1;1 1 0 4 1;-1 -1 -1 0 -1;2 2 2 2 0
243,102,0 -1 -1 -1 -1;-1 0 0 -1 -1;1 1 0 4 1;0 0 0 0 2;-1 -1 -1 -1 0
244,680,0 -1 -1 -1 -1;-1 0 0 -1 -1;2 2 0 2 2;-1 -1 -1 0 -1;3 3 3 3 0
245,179,0 -1 -1 -1 -1;-1 0 0 -1 -1;2 2 0 2 2;-1 -1 -1 0 0;0 0 0 0 0
246,190,0 -1 -1 -1 -1;-1 0 0 -1 -1;3 3 0 3 3;-1 -1 -1 0 -1;1 1 1 1 0
247,231,0 -1 -1 -1 -1;-1 0 0 -1 -1;3 3 0 3 3;-1 -1 -1 0 0;-1 -1 -1 -1 0
248,168,0 -1 -1 -1 -1;-1 0 0 -1 -1;3 3 0 3 3;1 1 1 0 4;-1 -1 -1 -1 0
249,81,0 -1 -1 -1 -1;-1 0 1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
250,81,0 -1 -1 -1 -1;-1 0 1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0
251,69,0 -1 -1 -1 -1;-1 0 1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;1 1 1 1 0
252,87,0 -1 -1 -1 -1;-1 0 1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;2 2 2 2 0
253,263,0 -1 -1 -1 -1;-1 0 1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 1;-1 -1 -1 -1 0
254,136,0 -1 -1 -1 -1;-1 0 1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 1;0 0 0 0 0
255,101,0 -1 -1 -1 -1;-1 0 1 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 1;1 1 1 1 0
256,63,0 -1 -1 -1 -1;-1 0 1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 0;-1 -1 -1 -1 0
257,263,0 -1 -1 -1 -1;-1 0 1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 1;-1 -1 -1 -1 0
258,78,0 -1 -1 -1 -1;-1 0 1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 1;0 0 0 0 0
259,90,0 -1 -1 -1 -1;-1 0 1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 3;-1 -1 -1 -1 0
260,51,0 -1 -1 -1 -1;-1 0 1 -1 -1;-1 -1 0 -1 -1;0 0 0 0 3;0 0 0 0 0
261,165,0 -1 -1 -1 -1;-1 0 1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 1;1 1 1 1 0
262,166,0 -1 -1 -1 -1;-1 0 1 -1 -1;-1 -1 0 -1 -1;1 1 1 0 3;1 1 1 1 0
263,173,0 -1 -1 -1 -1;-1 0 1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 5;-1 -1 -1 -1 0
264,180,0 -1 -1 -1 -1;-1 0 1 -1 -1;-1 -1 0 1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
265,484,0 -1 -1 -1 -1;-1 0 1 -1 -1;-1 -1 0 1 -1;-1 -1 -1 0 -1;0 0 0 0 0
266,109,0 -1 -1 -1 -1;-1 0 1 -1 -1;-1 -1 0 1 -1;0 0 0 0 1;-1 -1 -1 -1 0
267,131,0 -1 -1 -1 -1;-1 0 1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;-1 -1 -1 -1 0
268,81,0 -1 -1 -1 -1;-1 0 1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;0 0 0 0 0
269,388,0 -1 -1 -1 -1;-1 0 1 -1 -1;0 0 0 0 0;-1 -1 -1 0 -1;2 2 2 2 0
270,148,0 -1 -1 -1 -1;-1 0 1 -1 -1;0 0 0 0 0;-1 -1 -1 0 1;-1 -1 -1 -1 0
271,263,0 -1 -1 -1 -1;-1 0 1 -1 -1;0 0 0 0 0;-1 -1 -1 0 1;0 0 0 0 0
272,178,0 -1 -1 -1 -1;-1 0 1 -1 -1;0 0 0 0 0;-1 -1 -1 0 1;2 2 2 2 0
273,90,0 -1 -1 -1 -1;-1 0 1 -1 -1;0 0 0 0 0;0 0 0 0 3;-1 -1 -1 -1 0
274,176,0 -1 -1 -1 -1;-1 0 1 -1 -1;0 0 0 0 0;0 0 0 0 3;0 0 0 0 0
275,167,0 -1 -1 -1 -1;-1 0 1 -1 -1;0 0 0 0 0;0 0 0 0 3;2 2 2 2 0
276,68,0 -1 -1 -1 -1;-1 0 1 -1 -1;0 0 0 0 0;1 1 1 0 1;-1 -1 -1 -1 0
277,415,0 -1 -1 -1 -1;-1 0 1 -1 -1;0 0 0 0 0;2 2 2 0 5;-1 -1 -1 -1 0
278,168,0 -1 -1 -1 -1;-1 0 1 -1 -1;0 0 0 0 0;2 2 2 0 5;0 0 0 0 0
279,107,0 -1 -1 -1 -1;-1 0 1 -1 -1;0 0 0 1 0;-1 -1 -1 0 -1;1 1 1 1 0
280,26,0 -1 -1 -1 -1;-1 0 1 -1 -1;0 0 0 1 0;0 0 0 0 1;-1 -1 -1 -1 0
281,69,0 -1 -1 -1 -1;-1 0 1 -1 -1;0 0 0 1 0;1 1 1 0 1;-1 -1 -1 -1 0
282,242,0 -1 -1 -1 -1;-1 0 1 -1 -1;0 0 0 3 0;-1 -1 -1 0 -1;-1 -1 -1 -1 0
283,109,0 -1 -1 -1 -1;-1 0 1 -1 -1;0 0 0 3 0;-1 -1 -1 0 -1;1 1 1 1 0
284,431,0 -1 -1 -1 -1;-1 0 1 -1 -1;1 1 0 1 1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
285,180,0 -1 -1 -1 -1;-1 0 1 -1 -1;1 1 0 1 1;-1 -1 -1 0 -1;0 0 0 0 0
286,128,0 -1 -1 -1 -1;-1 0 1 -1 -1;1 1 0 1 1;-1 -1 -1 0 -1;2 2 2 2 0
287,135,0 -1 -1 -1 -1;-1 0 1 -1 -1;1 1 0 1 1;-1 -1 -1 0 1;-1 -1 -1 -1 0
288,114,0 -1 -1 -1 -1;-1 0 1 -1 -1;1 1 0 1 1;0 0 0 0 3;-1 -1 -1 -1 0
289,319,0 -1 -1 -1 -1;-1 0 1 -1 -1;2 2 0 2 2;-1 -1 -1 0 -1;0 0 0 0 0
290,485,0 -1 -1 -1 -1;-1 0 1 -1 -1;2 2 0 2 2;-1 -1 -1 0 -1;2 2 2 2 0
291,178,0 -1 -1 -1 -1;-1 0 1 -1 -1;2 2 0 2 2;-1 -1 -1 0 1;0 0 0 0 0
292,486,0 -1 -1 -1 -1;-1 0 1 -1 -1;2 2 0 2 2;-1 -1 -1 0 1;2 2 2 2 0
293,79,0 -1 -1 -1 -1;-1 0 1 -1 -1;2 2 0 2 2;0 0 0 0 3;-1 -1 -1 -1 0
294,487,0 -1 -1 -1 -1;-1 0 1 -1 -1;2 2 0 2 2;2 2 2 0 5;-1 -1 -1 -1 0
295,93,0 -1 -1 -1 -1;-1 0 2 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
296,213,0 -1 -1 -1 -1;-1 0 2 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;1 1 1 1 0
297,93,0 -1 -1 -1 -1;-1 0 2 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 0;-1 -1 -1 -1 0
298,93,0 -1 -1 -1 -1;-1 0 2 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 0;0 0 0 0 0
299,98,0 -1 -1 -1 -1;-1 0 2 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 0;1 1 1 1 0
300,184,0 -1 -1 -1 -1;-1 0 2 -1 -1;-1 -1 0 -1 -1;-1 -1 -1 0 2;-1 -1 -1 -1 0
301,75,0 -1 -1 -1 -1;-1 0 2 -1 -1;-1 -1 0 -1 -1;1 1 1 0 2;-1 -1 -1 -1 0
302,392,0 -1 -1 -1 -1;-1 0 2 -1 -1;-1 -1 0 -1 -1;1 1 1 0 4;-1 -1 -1 -1 0
303,52,0 -1 -1 -1 -1;-1 0 2 -1 -1;-1 -1 0 2 -1;-1 -1 -1 0 -1;1 1 1 1 0
304,84,0 -1 -1 -1 -1;0 0 0 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
305,24,0 -1 -1 -1 -1;0 0 0 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0
306,20,0 -1 -1 -1 -1;0 0 0 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;1 1 1 1 0
307,177,0 -1 -1 -1 -1;0 0 0 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;2 2 2 2 0
308,22,0 -1 -1 -1 -1;0 0 0 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 0;-1 -1 -1 -1 0
309,24,0 -1 -1 -1 -1;0 0 0 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 0;0 0 0 0 0
310,27,0 -1 -1 -1 -1;0 0 0 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 1;-1 -1 -1 -1 0
311,24,0 -1 -1 -1 -1;0 0 0 0 0;-1 -1 0 -1 -1;0 0 0 0 0;-1 -1 -1 -1 0
312,24,0 -1 -1 -1 -1;0 0 0 0 0;-1 -1 0 -1 -1;0 0 0 0 0;0 0 0 0 0
313,89,0 -1 -1 -1 -1;0 0 0 0 0;-1 -1 0 -1 -1;0 0 0 0 1;-1 -1 -1 -1 0
314,273,0 -1 -1 -1 -1;0 0 0 0 0;-1 -1 0 -1 -1;0 0 0 0 2;-1 -1 -1 -1 0
315,98,0 -1 -1 -1 -1;0 0 0 0 0;-1 -1 0 -1 -1;0 0 0 0 3;-1 -1 -1 -1 0
316,12,0 -1 -1 -1 -1;0 0 0 0 0;-1 -1 0 -1 -1;1 1 1 0 1;-1 -1 -1 -1 0
317,63,0 -1 -1 -1 -1;0 0 0 0 0;-1 -1 0 -1 -1;1 1 1 0 1;1 1 1 1 0
318,222,0 -1 -1 -1 -1;0 0 0 0 0;-1 -1 0 -1 -1;2 2 2 0 2;-1 -1 -1 -1 0
319,84,0 -1 -1 -1 -1;0 0 0 0 0;-1 -1 0 0 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
320,24,0 -1 -1 -1 -1;0 0 0 0 0;-1 -1 0 0 -1;-1 -1 -1 0 -1;0 0 0 0 0
321,24,0 -1 -1 -1 -1;0 0 0 0 0;-1 -1 0 0 -1;0 0 0 0 0;-1 -1 -1 -1 0
322,217,0 -1 -1 -1 -1;0 0 0 0 0;-1 -1 0 0 -1;1 1 1 0 1;-1 -1 -1 -1 0
323,78,0 -1 -1 -1 -1;0 0 0 0 0;-1 -1 0 1 -1;-1 -1 -1 0 -1;0 0 0 0 0
324,24,0 -1 -1 -1 -1;0 0 0 0 0;0 0 0 0 0;-1 -1 -1 0 -1;-1 -1 -1 -1 0
325,24,0 -1 -1 -1 -1;0 0 0 0 0;0 0 0 0 0;-1 -1 -1 0 -1;0 0 0 0 0
326,24,0 -1 -1 -1 -1;0 0 0 0 0;0 0 0 0 0;-1 -1 -1 0 0;-1 -1 -1 -1 0
327,128,0 -1 -1 -1 -1;0 0 0 0 0;0 0 0 0 0;-1 -1 -1 0 0;1 1 1 1 0
328,24,0 -1 -1 -1 -1;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;-1 -1 -1 -1 0
329,24,0 -1 -1 -1 -1;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0
330,63,0 -1 -1 -1 -1;0 0 0 0 0;0 0 0 0 0;1 1 1 0 1;1 1 1 1 0
331,276,0 -1 -1 -1 -1;0 0 0 0 0;0 0 0 0 0;1 1 1 0 2;-1 -1 -1 -1 0
332,78,0 -1 -1 -1 -1;0 0 0 0 0;0 0 0 1 0;-1 -1 -1 0 -1;-1 -1 -1 -1 0
333,243,0 -1 -1 -1 -1;0 0 0 0 0;0 0 0 2 0;-1 -1 -1 0 -1;-1 -1 -1 -1 0
334,105,0 -1 -1 -1 -1;0 0 0 0 0;1 1 0 1 1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
335,45,0 -1 -1 -1 -1;0 0 0 0 0;1 1 0 1 1;-1 -1 -1 0 -1;1 1 1 1 0
336,45,0 -1 -1 -1 -1;0 0 0 0 0;1 1 0 1 1;0 0 0 0 0;1 1 1 1 0
337,56,0 -1 -1 -1 -1;0 0 0 0 0;1 1 0 1 1;1 1 1 0 1;-1 -1 -1 -1 0
338,56,0 -1 -1 -1 -1;0 0 0 0 0;1 1 0 1 1;1 1 1 0 1;0 0 0 0 0
339,312,0 -1 -1 -1 -1;0 0 0 0 0;1 1 0 4 1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
340,312,0 -1 -1 -1 -1;0 0 0 0 0;1 1 0 4 1;-1 -1 -1 0 -1;0 0 0 0 0
341,179,0 -1 -1 -1 -1;0 0 0 0 0;2 2 0 2 2;-1 -1 -1 0 -1;-1 -1 -1 -1 0
342,657,0 -1 -1 -1 -1;0 0 0 0 0;2 2 0 3 2;-1 -1 -1 0 -1;-1 -1 -1 -1 0
343,81,0 -1 -1 -1 -1;0 0 1 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
344,81,0 -1 -1 -1 -1;0 0 1 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0
345,388,0 -1 -1 -1 -1;0 0 1 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;2 2 2 2 0
346,65,0 -1 -1 -1 -1;0 0 1 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 1;-1 -1 -1 -1 0
347,81,0 -1 -1 -1 -1;0 0 1 0 0;-1 -1 0 -1 -1;0 0 0 0 0;-1 -1 -1 -1 0
348,114,0 -1 -1 -1 -1;0 0 1 0 0;-1 -1 0 -1 -1;1 1 1 0 1;-1 -1 -1 -1 0
349,133,0 -1 -1 -1 -1;0 0 1 0 0;-1 -1 0 1 -1;-1 -1 -1 0 -1;0 0 0 0 0
350,25,0 -1 -1 -1 -1;0 0 1 0 0;-1 -1 0 1 -1;0 0 0 0 0;0 0 0 0 0
351,265,0 -1 -1 -1 -1;0 0 1 0 0;0 0 0 0 0;-1 -1 -1 0 -1;-1 -1 -1 -1 0
352,136,0 -1 -1 -1 -1;0 0 1 0 0;0 0 0 0 0;-1 -1 -1 0 1;-1 -1 -1 -1 0
353,133,0 -1 -1 -1 -1;0 0 1 0 0;0 0 0 1 0;-1 -1 -1 0 -1;0 0 0 0 0
354,28,0 -1 -1 -1 -1;0 0 1 0 0;0 0 0 1 0;0 0 0 0 3;0 0 0 0 0
355,242,0 -1 -1 -1 -1;0 0 1 0 0;0 0 0 3 0;-1 -1 -1 0 -1;-1 -1 -1 -1 0
356,160,0 -1 -1 -1 -1;0 0 1 0 0;0 0 0 3 0;-1 -1 -1 0 -1;0 0 0 0 0
357,25,0 -1 -1 -1 -1;0 0 1 0 0;0 0 0 3 0;-1 -1 -1 0 -1;2 2 2 2 0
358,32,0 -1 -1 -1 -1;0 0 1 0 0;0 0 0 3 0;-1 -1 -1 0 1;-1 -1 -1 -1 0
359,132,0 -1 -1 -1 -1;0 0 1 0 0;0 0 0 3 0;0 0 0 0 3;-1 -1 -1 -1 0
360,181,0 -1 -1 -1 -1;0 0 1 0 0;0 0 0 3 0;2 2 2 0 5;-1 -1 -1 -1 0
361,136,0 -1 -1 -1 -1;0 0 1 0 0;1 1 0 1 1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
362,488,0 -1 -1 -1 -1;0 0 1 0 0;2 2 0 3 2;-1 -1 -1 0 -1;-1 -1 -1 -1 0
363,182,0 -1 -1 -1 -1;0 0 1 0 0;2 2 0 5 2;-1 -1 -1 0 -1;0 0 0 0 0
364,103,0 -1 -1 -1 -1;0 0 1 0 0;2 2 0 5 2;0 0 0 0 3;-1 -1 -1 -1 0
365,690,0 -1 -1 -1 -1;0 0 2 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
366,93,0 -1 -1 -1 -1;0 0 2 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0
367,213,0 -1 -1 -1 -1;0 0 2 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;1 1 1 1 0
368,93,0 -1 -1 -1 -1;0 0 2 0 0;-1 -1 0 -1 -1;0 0 0 0 0;-1 -1 -1 -1 0
369,183,0 -1 -1 -1 -1;0 0 2 0 0;-1 -1 0 -1 -1;0 0 0 0 2;-1 -1 -1 -1 0
370,489,0 -1 -1 -1 -1;0 0 2 0 0;-1 -1 0 -1 -1;1 1 1 0 2;-1 -1 -1 -1 0
371,39,0 -1 -1 -1 -1;0 0 2 0 0;-1 -1 0 0 -1;-1 -1 -1 0 0;0 0 0 0 0
372,93,0 -1 -1 -1 -1;0 0 2 0 0;0 0 0 0 0;-1 -1 -1 0 -1;-1 -1 -1 -1 0
373,661,0 -1 -1 -1 -1;0 0 2 0 0;2 2 0 2 2;-1 -1 -1 0 -1;-1 -1 -1 -1 0
374,67,0 -1 -1 -1 -1;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
375,85,0 -1 -1 -1 -1;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0
376,137,0 -1 -1 -1 -1;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;1 1 1 1 0
377,237,0 -1 -1 -1 -1;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 -1;2 2 2 2 0
378,97,0 -1 -1 -1 -1;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 1;-1 -1 -1 -1 0
379,97,0 -1 -1 -1 -1;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 1;0 0 0 0 0
380,31,0 -1 -1 -1 -1;0 0 3 0 0;-1 -1 0 -1 -1;-1 -1 -1 0 1;2 2 2 2 0
381,97,0 -1 -1 -1 -1;0 0 3 0 0;-1 -1 0 -1 -1;0 0 0 0 1;-1 -1 -1 -1 0
382,141,0 -1 -1 -1 -1;0 0 3 0 0;-1 -1 0 -1 -1;0 0 0 0 1;0 0 0 0 0
383,71,0 -1 -1 -1 -1;0 0 3 0 0;-1 -1 0 -1 -1;0 0 0 0 1;2 2 2 2 0
384,432,0 -1 -1 -1 -1;0 0 3 0 0;-1 -1 0 -1 -1;0 0 0 0 3;-1 -1 -1 -1 0
385,149,0 -1 -1 -1 -1;0 0 3 0 0;-1 -1 0 -1 -1;1 1 1 0 1;-1 -1 -1 -1 0
386,172,0 -1 -1 -1 -1;0 0 3 0 0;-1 -1 0 -1 -1;2 2 2 0 5;-1 -1 -1 -1 0
387,66,0 -1 -1 -1 -1;0 0 3 0 0;-1 -1 0 1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
388,32,0 -1 -1 -1 -1;0 0 3 0 0;-1 -1 0 1 -1;-1 -1 -1 0 -1;0 0 0 0 0
389,85,0 -1 -1 -1 -1;0 0 3 0 0;0 0 0 0 0;-1 -1 -1 0 -1;0 0 0 0 0
390,181,0 -1 -1 -1 -1;0 0 3 0 0;0 0 0 0 0;-1 -1 -1 0 1;0 0 0 0 0
391,182,0 -1 -1 -1 -1;0 0 3 0 0;0 0 0 3 0;-1 -1 -1 0 -1;0 0 0 0 0
392,75,0 -1 -1 -1 -1;0 0 3 0 0;2 2 0 2 2;-1 -1 -1 0 -1;0 0 0 0 0
393,80,0 -1 -1 -1 -1;0 0 3 0 0;2 2 0 2 2;-1 -1 -1 0 1;0 0 0 0 0
394,184,0 -1 -1 -1 -1;0 0 3 0 0;2 2 0 5 2;-1 -1 -1 0 -1;0 0 0 0 0
395,21,0 -1 -1 -1 -1;1 0 1 1 1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
396,21,0 -1 -1 -1 -1;1 0 1 1 1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;0 0 0 0 0
397,60,0 -1 -1 -1 -1;1 0 1 1 1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;1 1 1 1 0
398,212,0 -1 -1 -1 -1;1 0 1 1 1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;2 2 2 2 0
399,381,0 -1 -1 -1 -1;1 0 1 1 1;-1 -1 0 -1 -1;-1 -1 -1 0 -1;3 3 3 3 0
400,37,0 -1 -1 -1 -1;1 0 1 1 1;-1 -1 0 -1 -1;-1 -1 -1 0 1;-1 -1 -1 -1 0
401,21,0 -1 -1 -1 -1;1 0 1 1 1;-1 -1 0 -1 -1;0 0 0 0 0;-1 -1 -1 -1 0
402,60,0 -1 -1 -1 -1;1 0 1 1 1;-1 -1 0 -1 -1;0 0 0 0 0;1 1 1 1 0
403,423,0 -1 -1 -1 -1;1 0 1 1 1;-1 -1 0 -1 -1;0 0 0 0 1;-1 -1 -1 -1 0
404,50,0 -1 -1 -1 -1;1 0 1 1 1;-1 -1 0 -1 -1;1 1 1 0 1;-1 -1 -1 -1 0
405,50,0 -1 -1 -1 -1;1 0 1 1 1;-1 -1 0 -1 -1;1 1 1 0 1;0 0 0 0 0
406,430,0 -1 -1 -1 -1;1 0 1 1 1;-1 -1 0 -1 -1;1 1 1 0 2;-1 -1 -1 -1 0
407,424,0 -1 -1 -1 -1;1 0 1 1 1;-1 -1 0 -1 -1;1 1 1 0 3;-1 -1 -1 -1 0
408,662,0 -1 -1 -1 -1;1 0 1 1 1;-1 -1 0 -1 -1;1 1 1 0 4;-1 -1 -1 -1 0
409,425,0 -1 -1 -1 -1;1 0 1 1 1;-1 -1 0 -1 -1;3 3 3 0 3;-1 -1 -1 -1 0
410,29,0 -1 -1 -1 -1;1 0 1 1 1;-1 -1 0 1 -1;-1 -1 -1 0 -1;-1 -1 -1 -1 0
411,88,0 -1 -1 -1 -1;1 0 1 1 1;-1 -1 0 1 -1;-1 -1 -1 0 -1;0 0 0 0 0
412,104,0 -1 -1 -1 -1;1 0 1 1 1;-1 -1 0 1 -1;-1 -1 -1 0 -1;1 1 1 1 0
413,111,0 -1 -1 -1 -1;1 0 1 1 1;-1 -1 0 1 -1;-1 -1 -1 0 -1;2 2 2 2 0
414,117,0 -1 -1 -1 -1;1 0 1 1 1;-1 -1 0 1 -1;-1 -1 -1 0 1;-1 -1 -1 -1 0
415,306,0 -1 -1 -1 -1;1 0 1 1 1;0 0 0 0 0;-1 -1 -1 0 -1;-1 -1 -1 -1 0
416,60,0 -1 -1 -1 -1;1 0 1 1 1;0 0 0 0 0;-1 -1 -1 0 -1;1 1 1 1 0
417,60,0 -1 -1 -1 -1;1 0 1 1 1;0 0 0 0 0;0 0 0 0 0;1 1 1 1 0
418,50,0 -1 -1 -1 -1;1 0 1 1 1;0 0 0 0 0;1 1 1 0 1;-1 -1 -1 -1 0
419,50,0 -1 -1 -1 -1;1 0 1 1 1;0 0 0 0 0;1 1 1 0 1;0 0 0 0 0
