field_id,color_class,deltaW
40,410,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 2;4 4 4 4 0
41,451,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 3;-1 -1 -1 -1 0
42,26,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 3;0 0 0 0 0
43,411,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 3;1 1 1 1 0
44,452,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 4;-1 -1 -1 -1 0
45,453,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 4;1 1 1 1 0
46,454,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 4;2 2 2 2 0
47,132,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 5;-1 -1 -1 -1 0
48,132,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 5;0 0 0 0 0
49,455,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;2 2 2 0 5;1 1 1 1 0
50,456,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;3 3 3 0 3;-1 -1 -1 -1 0
51,412,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;3 3 3 0 3;1 1 1 1 0
52,457,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;3 3 3 0 3;2 2 2 2 0
53,458,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;3 3 3 0 3;3 3 3 3 0
54,459,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;3 3 3 0 3;5 5 5 5 0
55,460,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;3 3 3 0 4;2 2 2 2 0
56,685,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;3 3 3 0 6;-1 -1 -1 -1 0
57,685,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;3 3 3 0 6;0 0 0 0 0
58,461,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;3 3 3 0 6;1 1 1 1 0
59,413,0 -1 -1 -1 -1;-1 0 -1 -1 -1;-1 -1 0 -1 -1;4 4 4 0 4;2 2 2 2 0
